Throwing Schedule,,,,,,,,,Arm Soreness Level,,,,,,,
,,,,,,,,,,,,,,,,
Sunday Date,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Notes
10/1/2017,,,,,Hybrid B,Hybrid A,Off,On-Ramp,,,,,,,,
10/8/2017,Hybrid B,Recovery,Hybrid B,Off,Off,Hybrid A,Recovery,On-Ramp,,,,,,,,
10/15/2017,Hybrid A,Recovery,Hybrid B,Hybrid A,Plyocare Velocity,Off,Hybrid B,Velocity,,,,,,,,
10/22/2017,Velocity,Recovery,Hybrid B,Recovery,PlyoCare Velocity,Off,Hybrid B,Velocity,,,,,,,,
10/29/2017,Velocity,Recovery,Hybrid B,Recovery,PlyoCare Velocity,Off,Hybrid B,Velocity,,,,,,,,
11/5/2017,Recovery,Recovery/Off,Hybrid B,Recovery,Off,Off,Hybrid B,De-Load,,,,,,,,
11/12/2017,Velocity,Recovery,Hybrid B,Recovery,PlyoCare Velocity,Off,Hybrid B,Velocity,,,,,,,,
11/19/2017,Velocity,Recovery,Hybrid B,Recovery,PlyoCare Velocity,Off,Hybrid B,Velocity,,,,,,,,
11/26/2017,Velocity,Recovery,Hybrid B,Hybrid B,PlyoCare Velocity,Off,Hybrid B,Velocity,,,,,,,,
12/3/2017,Recovery,Recovery/Off,Hybrid B,Recovery,Off,Off,Hybrid B,De-Load,,,,,,,,
12/10/2017,Recovery/Off,Mound Blending B (15),Recovery,Off,Off,Hybrid B,Recovery,Blend,,,,,,,,
12/17/2017,Recovery,Flat Command,Recovery,Mound Blending A (20),Off,Mound Blending B (15),Hybrid A,Blend,,,,,,,,
12/24/2017,Mound Blending A (30),Recovery,Flat Command,Hybrid A,Off,Mound Blending B (15),Hybrid B,Blend,,,,,,,,
12/31/2017,Recovery,Hybrid B,Recovery,Mound Velocity (15),Off,Flat Command,Bullpen (20),Blend,,,,,,,,
1/7/2018,Recovery/Off,Mound Blending A (40),Recovery,Off,Off,Hybrid B,Recovery,Blend,,,,,,,,
1/14/2018,Flat Command,Mound Blending B (15),Mound Velocity (15),Recovery,Off,Bullpen (20),Recovery,Blend,,,,,,,,
1/21/2018,Recovery,Hybrid B,Flat Command,Bullpen (30),Off,Flat Command,Bullpen (15),Bullpen,,,,,,,,
1/28/2018,Recovery,Hybrid B,Mound Blending A (15),Off,Flat Command,Recovery,Live (40),Bullpen,,,,,,,,
2/4/2018,Recovery,Off,Live (20),Recovery,Hybrid B,Recovery,Live (50),,,,,,,,,
2/11/2018,Recovery,Off,Hybrid B,Live (30),Recovery,Recovery,Live (40),,,,,,,,,
2/18/2018,Recovery,Off,Bullpen (15),Recovery,Hybrid B,Recovery,Live (50),,,,,,,,,
2/25/2018,Recovery,Off,Hybrid B,Live (30),Recovery,Recovery,Live (40),,,,,,,,,
3/4/2018,Recovery,Off,Live (30),Recovery,Hybrid B,Recovery,Spring Trip,,,,,,,,,
3/11/2018,Spring Trip,Spring Trip,Spring Trip,Spring Trip,Spring Trip,Spring Trip,Spring Trip,,,,,,,,,
3/18/2018,Spring Trip,Off,,,,,,,,,,,,,,
